time,note,velocity,duration
0,64,79,1440
120,100,66,120
240,96,63,120
360,91,60,120
480,84,66,120
600,88,56,120
720,84,60,120
840,79,57,120
960,72,56,120
1080,79,50,120
1200,84,55,120
1320,88,52,120
1440,84,60,120
1560,79,48,120
1680,72,50,120
1800,76,48,120
1920,72,54,120
2040,67,44,120
2160,60,47,120
2280,64,75,600
2400,60,51,120
2520,55,41,120
2640,52,46,120
2760,48,40,120
2880,65,77,1440
3000,101,62,120
3120,96,59,120
3240,93,57,120
3360,84,61,120
3480,89,54,120
3600,84,56,120
3720,81,47,120
3840,72,52,120
3960,81,47,120
4080,84,49,120
4200,88,48,120
4320,84,57,120
4440,81,48,120
4560,72,50,120
4680,76,48,120
4800,72,54,120
4920,69,44,120
5040,60,47,120
5160,64,70,120
5280,62,76,480
5400,60,41,120
5520,57,47,120
5640,50,44,120
5760,62,77,1440
5880,98,65,120
6000,95,62,120
6120,91,59,120
6240,83,64,120
6360,86,55,120
6480,83,59,120
6600,78,54,120
6720,71,52,120
6840,76,64,120
6960,79,45,120
7080,86,45,120
7200,81,55,120
7320,78,45,120
7440,72,49,120
7560,74,46,120
7680,69,52,120
7800,66,44,120
7920,60,47,120
8040,62,72,600
8160,57,52,120
8280,54,42,120
8400,48,46,120
8520,50,42,120
8640,62,77,1440
8760,98,65,120
8880,92,63,120
9000,89,61,120
9120,84,65,120
9240,86,55,120
9360,80,59,120
9480,77,55,120
9600,72,56,120
9720,77,47,120
9840,80,49,120
9960,86,48,120
10080,79,60,120
10200,77,48,120
10320,71,50,120
10440,74,48,120
10560,67,54,120
10680,65,44,120
10800,59,47,120
10920,63,76,600
11040,59,52,120
11160,55,40,120
11280,53,43,120
11400,47,37,120
11520,64,77,1440
11640,100,68,120
11760,96,65,120
11880,91,62,120
12000,84,65,120
12120,88,55,120
12240,84,59,120
12360,79,47,120
12480,72,56,120
12600,79,47,120
12720,84,49,120
12840,88,48,120
12960,84,60,120
13080,79,48,120
13200,72,50,120
13320,76,48,120
13440,72,54,120
13560,67,44,120
13680,60,47,120
13800,64,74,600
13920,60,51,120
14040,55,40,120
14160,52,44,120
14280,48,40,120
14400,65,77,1440
14520,101,66,120
14640,96,64,120
14760,93,62,120
14880,84,67,120
15000,89,55,120
15120,84,59,120
15240,81,47,120
15360,72,56,120
15480,81,47,120
15600,84,49,120
15720,88,48,120
15840,81,57,120
15960,78,48,120
16080,72,50,120
16200,76,48,120
16320,69,54,120
16440,66,44,120
16560,60,47,120
16680,64,72,600
16800,57,54,120
16920,54,39,120
17040,52,46,120
17160,48,41,120
17280,62,75,1440
17400,98,63,120
17520,96,60,120
17640,91,61,120
17760,84,66,120
17880,86,51,120
18000,84,55,120
18120,79,51,120
18240,72,46,120
18360,79,57,120
18480,84,40,120
18600,86,40,120
18720,83,49,120
18840,79,40,120
18960,71,43,120
19080,74,41,120
19200,71,46,120
19320,67,39,120
19440,59,42,120
19560,62,71,600
19680,59,46,120
19800,55,40,120
19920,50,42,240
20040,47,47,120
20160,64,74,1440
20280,100,57,120
20400,98,54,120
20520,91,51,120
20640,86,58,120
20760,88,43,120
20880,86,49,120
21000,79,43,120
21120,74,42,120
21240,79,36,120
21360,86,36,120
21480,88,35,120
21600,84,44,120
21720,79,34,120
21840,76,36,120
21960,79,34,120
22080,72,38,120
22200,67,30,120
22320,60,32,120
22440,64,53,600
22560,60,34,120
22680,55,29,120
22800,52,31,1680
22920,48,35,120
22980,60,44,1500
23040,64,54,1440
23160,101,43,120
23280,100,40,120
23400,96,38,120
23520,88,42,120
23640,89,35,120
23760,88,37,120
23880,84,34,120
24000,76,33,120
24120,84,40,120
24240,88,28,120
24360,89,28,120
24480,86,34,120
24600,83,28,120
24720,74,30,120
24840,77,29,120
24960,74,33,120
25080,71,27,120
25200,62,29,120
25320,65,51,600
25440,62,33,120
25560,59,28,120
25680,53,29,120
25800,50,27,120
25920,64,54,1440
26040,100,44,120
26160,98,40,120
26280,95,37,120
26400,86,42,120
26520,88,34,120
26640,86,36,120
26760,83,29,120
26880,74,33,120
27000,83,40,120
27120,86,28,120
27240,88,28,120
27360,84,34,120
27480,81,28,120
27600,72,30,120
27720,76,29,120
27840,72,33,120
27960,69,27,120
28080,60,29,120
28200,64,51,600
28320,60,38,120
28440,57,42,120
28560,52,46,120
28680,48,40,120
28740,57,48,1500
28770,60,44,1470
28800,69,60,1440
28920,100,48,120
29040,96,44,120
29160,93,41,120
29280,88,46,120
29400,91,38,120
29520,88,40,120
29640,84,32,120
29760,72,35,120
29880,81,44,120
30000,84,32,120
30120,87,32,120
30240,83,38,120
30360,81,32,120
30480,71,34,120
30600,75,33,120
30720,71,36,120
30840,69,31,120
30960,59,33,120
31080,63,58,600
31200,59,36,120
31320,57,32,120
31440,51,33,120
31560,47,31,120
31680,64,63,1440
31800,100,51,120
31920,95,46,120
32040,93,43,120
32160,83,49,120
32280,88,40,120
32400,83,43,120
32520,81,34,120
32640,71,37,120
32760,81,47,120
32880,83,33,120
33000,88,33,120
33120,83,46,120
33240,80,36,120
33360,71,39,120
33480,76,36,120
33600,71,44,120
33740,68,40,120
33860,59,43,120
33960,64,67,600
34080,59,52,120
34220,56,47,120
34340,52,53,120
34440,47,57,120
34560,67,77,1440
34680,103,65,120
34800,97,62,120
34920,93,59,120
35040,88,64,120
35160,91,55,120
35280,85,59,120
35400,81,54,120
35520,76,52,120
35640,81,64,120
35760,85,45,120
35880,91,45,120
36000,85,55,120
36120,81,45,120
36240,76,49,120
36360,79,46,120
36480,73,52,120
36600,69,44,120
36720,64,47,120
36840,67,44,120
36960,66,75,480
37080,60,39,120
37200,57,43,120
37320,50,38,120
37440,65,77,1440
37560,101,65,120
37680,96,62,120
37800,91,59,120
37920,86,64,120
38040,89,55,120
38160,84,59,120
38280,79,54,120
38400,74,52,120
38520,79,64,120
38640,84,45,120
38760,89,45,120
38880,83,55,120
39000,79,45,120
39120,74,49,120
39240,77,46,120
39360,71,52,120
39480,67,44,120
39600,62,47,120
39720,65,44,120
39840,64,76,480
39960,59,41,120
40080,55,45,120
40200,48,39,120
40320,64,77,1440
40440,100,65,120
40560,94,62,120
40680,91,59,120
40800,84,64,120
40920,88,55,120
41040,82,59,120
41160,79,54,120
41280,72,52,120
41400,79,64,120
41520,82,45,120
41640,87,45,120
41760,82,55,120
41880,78,45,120
42000,72,50,120
42120,75,46,120
42240,70,53,120
42360,66,44,120
42480,60,48,120
42600,63,76,600
42720,58,53,120
42840,51,43,120
42960,48,48,120
43080,46,41,120
43200,63,79,1440
43320,99,67,120
43440,93,64,120
43560,87,61,120
43680,84,66,120
43800,87,57,120
43920,81,61,120
44040,75,56,120
44160,72,54,120
44280,75,67,120
44400,81,47,120
44520,87,47,120
44640,80,57,120
44760,75,47,120
44880,71,51,120
45000,75,48,120
45120,68,55,120
45240,63,46,120
45360,59,50,120
45480,63,76,600
45600,59,55,120
45720,56,44,120
45840,51,48,120
45960,47,44,120
46080,62,82,1440
46200,98,69,120
46320,92,66,120
46440,89,63,120
46560,82,69,120
46680,86,58,120
46800,80,64,120
46920,77,57,120
47040,70,56,120
47160,77,69,120
47280,80,49,120
47400,86,49,120
47520,80,59,120
47640,76,49,120
47760,70,53,120
47880,74,50,120
48000,68,57,120
48120,64,48,120
48240,58,52,120
48360,62,79,600
48480,56,57,120
48600,52,45,120
48720,50,50,120
48840,46,43,120
48960,62,86,1440
49080,98,72,120
49200,93,69,120
49320,88,65,120
49440,81,71,120
49560,86,60,120
49680,81,66,120
49800,76,59,120
49920,69,57,120
50040,76,72,120
50160,81,50,120
50280,85,50,120
50400,81,61,120
50520,76,51,120
50640,69,55,120
50760,73,52,120
50880,69,58,120
51000,64,50,120
51120,57,54,120
51240,61,85,600
51360,57,58,120
51480,52,47,120
51600,49,54,120
51720,45,46,120
51840,72,88,1440
51960,96,78,120
52080,90,74,120
