time,note,velocity,duration
2840,89,120,1420
2960,86,120,80
3080,81,120,80
3200,89,120,80
3320,86,120,80
3440,81,120,80
3560,89,120,80
3680,86,120,80
3800,81,120,80
3920,89,120,80
4040,86,120,80
4160,81,120,80
4280,88,120,120
4600,88,120,120
4920,88,120,180
5240,89,120,80
5360,86,120,80
5480,81,120,80
5600,89,120,80
5720,86,120,80
5840,81,120,120
5960,89,120,120
6080,88,120,120
6200,81,120,80
6320,89,120,80
6440,86,120,80
6560,84,120,120
6680,91,120,120
6800,82,120,50
6860,86,120,50
6920,89,120,50
6980,88,120,50
7000,91,120,120
7040,84,120,50
7100,81,120,50
7160,79,120,50
7220,81,120,50
7280,77,120,50
7320,91,120,180
7340,76,120,50
7400,72,120,50
7460,74,120,50
7520,70,120,50
7580,69,120,50
7640,89,120,80
7760,86,120,80
7880,81,120,80
8000,89,120,80
8120,86,120,80
8240,81,120,80
8360,89,120,80
8480,86,120,80
8600,81,120,80
8720,89,120,80
8840,86,120,80
8960,81,120,80
9080,88,120,120
9400,88,120,120
9720,88,120,180
10040,89,120,80
10160,86,120,80
10280,81,120,80
10400,89,120,80
10520,86,120,80
10640,81,120,80
10760,89,120,80
10880,86,120,80
11000,81,120,80
11120,89,120,80
11240,86,120,80
11360,81,120,80
11480,91,120,120
11800,91,120,120
12120,91,120,180
12440,89,120,1420
12560,86,120,80
12680,81,120,80
12800,89,120,80
12920,86,120,80
13040,81,120,80
13160,89,120,80
13280,86,120,80
13400,81,120,80
13520,89,120,80
13640,86,120,80
13760,81,120,80
13880,88,120,120
14200,88,120,120
14520,88,120,180
14840,89,120,80
14960,86,120,80
15080,81,120,80
15200,89,120,80
15320,86,120,80
15440,81,120,120
15560,89,120,120
15680,88,120,120
15800,81,120,80
15920,89,120,80
16040,86,120,80
16160,84,120,120
16280,91,120,120
16400,82,120,50
16460,86,120,50
16520,89,120,50
16580,88,120,50
16600,91,120,120
16640,84,120,50
16700,81,120,50
16760,79,120,50
16820,81,120,50
16880,77,120,50
16920,91,120,180
