time,note,velocity,duration
2840,77,100,80
2840,81,110,1420
2840,89,110,1420
2840,89,110,1420
2840,81,110,1420
2840,89,100,80
2960,86,100,80
2960,74,100,80
3080,81,100,80
3080,69,100,80
3200,77,100,80
3200,89,100,80
3320,86,100,80
3320,74,100,80
3440,69,100,80
3440,81,100,80
3560,77,100,80
3560,89,100,80
3680,86,100,80
3680,74,100,80
3800,81,100,80
3800,69,100,80
3920,89,100,80
3920,77,100,80
4040,74,100,80
4040,86,100,80
4160,69,100,80
4160,81,100,80
4280,76,110,230
4280,79,110,230
4280,76,110,230
4280,88,100,120
4280,79,110,230
4280,79,80,120
4280,76,100,120
4280,72,80,120
4280,67,80,120
4280,84,80,120
4600,79,110,230
4600,76,110,230
4600,79,110,230
4600,76,110,230
4600,88,100,120
4600,84,80,120
4600,76,100,120
4600,72,80,120
4600,67,80,120
4600,79,80,120
4920,79,110,230
4920,76,110,230
4920,79,110,230
4920,76,110,230
4920,88,100,180
4920,79,100,180
4920,76,100,180
4920,72,80,180
4920,67,100,180
4920,84,80,180
5240,77,100,80
5240,89,100,80
5240,76,91,120
5240,76,91,120
5360,76,91,120
5360,76,91,120
5360,74,100,80
5360,86,100,80
5480,77,91,120
5480,69,100,80
5480,81,100,80
5480,77,91,120
5600,79,91,120
5600,79,91,120
5600,77,100,80
5600,89,100,80
5720,74,100,80
5720,86,100,80
5720,84,91,120
5720,84,91,120
5840,69,100,80
5840,81,100,80
5840,81,91,120
5840,81,91,120
5960,89,91,120
5960,89,91,120
5960,77,100,80
5960,89,100,80
6080,74,100,80
6080,86,100,80
6080,88,91,120
6080,88,91,120
6200,79,91,120
6200,79,91,120
6200,81,100,80
6200,69,100,80
6320,77,100,80
6320,89,100,80
6320,86,91,120
6320,86,91,120
6440,77,91,120
6440,77,91,120
6440,74,100,80
6440,86,100,80
6560,69,100,80
6560,81,100,80
6560,84,91,120
6560,84,91,120
6680,79,91,120
6680,91,100,120
6680,88,80,120
6680,82,80,120
6680,79,91,120
6680,76,80,120
6680,70,80,120
6680,79,100,120
6800,82,91,50
6800,82,91,50
6860,86,91,50
6860,86,91,50
6920,89,91,50
6920,89,91,50
6980,88,91,50
6980,88,91,50
7000,88,80,120
7000,82,80,120
7000,79,100,120
7000,91,100,120
7000,70,80,120
7000,76,80,120
7040,84,91,50
7040,84,91,50
7100,81,91,50
7100,81,91,50
7160,79,91,50
7160,79,91,50
7220,81,91,50
7220,81,91,50
7280,77,91,50
7280,77,91,50
7320,70,100,180
7320,76,80,180
7320,79,100,180
7320,82,100,180
7320,88,80,180
7320,91,100,180
7340,76,91,50
7340,76,91,50
7400,72,91,50
7400,72,91,50
7460,74,91,50
7460,74,91,50
7520,70,91,50
7520,70,91,50
7580,69,91,50
7580,69,91,50
7640,69,110,1420
7640,77,110,1420
7640,77,110,1420
7640,69,110,1420
7640,89,100,80
7640,77,100,80
7760,74,100,80
7760,86,100,80
7880,69,100,80
7880,81,100,80
8000,77,100,80
8000,89,100,80
8120,74,100,80
8120,86,100,80
8240,69,100,80
8240,81,100,80
8360,89,100,80
8360,77,100,80
8480,86,100,80
8480,74,100,80
8600,81,100,80
8600,69,100,80
8720,77,100,80
8720,89,100,80
8840,74,100,80
8840,86,100,80
8960,69,100,80
8960,81,100,80
9080,67,110,230
9080,76,110,230
9080,67,110,230
9080,76,110,230
9080,88,100,120
9080,76,100,120
9080,79,80,120
9080,84,80,120
9080,72,80,120
9080,67,80,120
9400,76,110,230
9400,67,110,230
9400,76,110,230
9400,67,110,230
9400,88,100,120
9400,79,80,120
9400,76,100,120
9400,72,80,120
9400,67,80,120
9400,84,80,120
9720,67,110,230
9720,67,110,230
9720,76,110,230
9720,76,110,230
9720,88,100,180
9720,76,100,180
9720,79,100,180
9720,72,80,180
9720,67,100,180
9720,84,80,180
10040,77,100,80
10040,77,100,80
10040,89,100,80
10040,77,100,80
10160,74,100,80
10160,74,100,80
10160,74,100,80
10160,86,100,80
10280,69,100,80
10280,81,100,80
10280,69,100,80
10280,69,100,80
10400,77,100,80
10400,77,100,80
10400,89,100,80
10400,77,100,80
10520,74,100,80
10520,74,100,80
10520,86,100,80
10520,74,100,80
10640,69,100,80
10640,69,100,80
10640,81,100,80
10640,69,100,80
10760,89,100,80
10760,77,100,80
10760,77,100,80
10760,77,100,80
10880,74,100,80
10880,74,100,80
10880,86,100,80
10880,74,100,80
11000,81,100,80
11000,69,100,80
11000,69,100,80
11000,69,100,80
11120,77,100,80
11120,77,100,80
11120,89,100,80
11120,77,100,80
11240,74,100,80
11240,74,100,80
11240,86,100,80
11240,74,100,80
11360,69,100,80
11360,81,100,80
11360,69,100,80
11360,69,100,80
11480,79,100,120
11480,76,80,120
11480,70,80,120
11480,91,100,120
11480,82,80,120
11480,88,80,120
11480,76,80,120
11480,70,80,120
11480,79,100,120
11480,76,80,120
11480,70,80,120
11480,79,100,120
11800,88,80,120
11800,76,80,120
11800,79,100,120
11800,70,80,120
11800,91,100,120
11800,82,80,120
11800,76,80,120
11800,76,80,120
11800,70,80,120
11800,79,100,120
11800,70,80,120
11800,79,100,120
12120,82,100,180
12120,70,100,180
12120,91,100,180
12120,88,80,180
12120,79,100,180
12120,76,80,180
12120,70,100,180
12120,79,100,180
12120,76,80,180
12120,70,100,180
12120,76,80,180
12120,79,100,180
