time,note,velocity,duration
2840,89,120,1420
2960,86,120,80
3080,81,120,80
3200,89,120,80
3320,86,120,80
3440,81,120,80
3560,89,120,80
3680,86,120,80
3800,81,120,80
3920,89,120,80
4040,86,120,80
4160,81,120,80
4280,88,120,120
4600,88,120,120
4920,88,120,180
5240,89,120,80
5360,86,120,80
5480,81,120,80
5600,89,120,80
5720,86,120,80
5840,81,120,120
5960,89,120,120
6080,88,120,120
6200,81,120,80
6320,89,120,80
6440,86,120,80
6560,84,120,120
6680,91,120,120
6800,82,120,50
6860,86,120,50
6920,89,120,50
6980,88,120,50
7000,91,120,120
7040,84,120,50
7100,81,120,50
7160,79,120,50
7220,81,120,50
7280,77,120,50
7320,91,120,180
7340,76,120,50
7400,72,120,50
7460,74,120,50
7520,70,120,50
7580,69,120,50
7640,89,120,80
7760,86,120,80
7880,81,120,80
8000,89,120,80
8120,86,120,80
8240,81,120,80
8360,89,120,80
8480,86,120,80
8600,81,120,80
8720,89,120,80
8840,86,120,80
8960,81,120,80
9080,88,120,120
9400,88,120,120
9720,88,120,180
10040,89,120,80
10160,86,120,80
10280,81,120,80
10400,89,120,80
10520,86,120,80
10640,78,120,80
10760,84,120,80
10880,82,120,80
11000,81,120,80
11120,82,120,80
11240,81,120,80
11360,79,120,80
11480,79,120,80
11760,85,120,120
12040,84,120,120
12320,80,120,480
12760,73,120,160
13160,79,120,200
13600,80,120,200
14000,79,120,200
14440,81,120,160
14840,79,120,200
15280,79,120,200
15720,77,120,200
16120,78,120,200
16520,80,120,200
16960,80,120,200
17440,83,120,200
17920,83,120,160
18400,72,120,680
19200,87,120,160
19440,84,120,80
19720,82,120,160
19920,84,120,120
20160,85,120,160
20400,88,120,120
20640,87,120,160
20840,86,120,120
21080,84,120,160
21320,88,120,120
21560,80,120,200
21840,88,120,120
22080,85,120,160
22320,88,120,120
22560,85,120,160
22800,86,120,120
23040,84,120,200
23280,83,120,120
23560,83,120,200
23880,86,120,120
24120,85,120,200
24400,87,120,120
24680,83,120,200
24960,85,120,120
